ID,Text,Pronoun,Pronoun-offset,A,A-offset,A-coref,B,B-offset,B-coref
test-11,"Taken in by S.H.I.E.L.D. she is under the direct supervision of its longtime executive director, Nick Fury, even after the latter's defection from the agency during the events of the ``Secret War'' series. She possesses a ``Level 10'' security clearance, the only known agent aside from Fury and the Black Widow (Natasha Romanova) to do so. In her most visible action, Johnson has helped to defeat the powerful mutant rebel leader Magneto by inducing a vibration in his brain that made him lose consciousness.",her,344,Natasha Romanova,313,FALSE,Johnson,369,TRUE
test-12,"Neither knows the truth about their respective pasts. When Dona Valeria finds out that Fernando Jose is in a relationship, she gets mad at her son for dating someone beneath their social status. Dolores and Rosalinda's sister, Fedra (Halili) also does not accept their relationship because she is also infatuated with Fernando Jose.",she,290,Dolores,195,FALSE,Rosalinda,207,FALSE
test-13,"He was a lawyer in Pulaski County before serving as Mayor of Little Rock from 1979 until he resigned in 1981. He was appointed by Bill Clinton as chief justice of Arkansas State Supreme Court in 1983. When Clinton became President, Hubbell was appointed as Associate Attorney General, which is the third most powerful person in the Justice Department. His wife is Suzanna ``Suzy'' Hubbell.",His,352,Clinton,206,FALSE,Hubbell,232,TRUE
test-14,"He left the Army in 1946. As the recipient of a Fellowship in Composition, Hanson after the war was able to resume his studies at the Conservatorium. Following a year of study with Alex Bernard, the Conservatorium offered Hanson a place on the staff which he accepted.",he,256,Alex Bernard,181,FALSE,Hanson,222,TRUE
test-15,"Nicola Alexis is a British actress best known for playing the role of WPC Ruby Buxton in the long running ITV drama The Bill. She recently played the lead role in the theatre adaptation of Carl Hiaasen's Lucky You, which premiered at the Edinburgh Festival Fringe in 2008.",She,126,Nicola Alexis,0,TRUE,WPC Ruby Buxton,70,FALSE
test-16,"Indeed, Buster was fully intended to exist in place of Spike for the comic book series, until the release of the Fortress Maximus toy in 1987, which included Spike as a Headmaster partner, hence necessitating the hurried introduction of Spike into the comic book continuity. Returning home from college to discover that his father's garage had been destroyed, Spike investigated the Autobots' deserted base at Mount Saint Hillary, learning that Buster had been captured by the Earth-based Decepticons.",his,320,Spike,360,TRUE,Buster,445,FALSE
test-17,"In the late 1970s, she toured in musical comedies including Sammy Cahn's Words and Music. After appearing with Mickey Rooney in the play Goodnight Ladies in Chicago, the producers cast Ann Jillian to appear in the original company of Sugar Babies on Broadway with Mickey Rooney and Ann Miller in 1979. She also starred in I Love My Wife at the Drury Lane Theatre in Chicago.",She,302,Ann Jillian,185,TRUE,Ann Miller,282,FALSE
test-18,"Jennifer Slept Here ended in 1984, enabling her to take a role in the miniseries Ellis Island, co-starring Richard Burton, Faye Dunaway, Ben Vereen and Liam Neeson. Dunaway and Vereen were nominated for Golden Globe Awards, and Jillian and Burton were nominated for Emmy Awards. Bob Hope selected her to appear in six of his television specials, including two entertaining U.S. troops stationed in Beirut (1984) and Saudi Arabia (1991).",her,297,Dunaway,165,FALSE,Jillian,228,TRUE
test-19,"On May 17, 2004, when the very successful Die Harald Schmidt Show left Sat.1, Engelke took over its timeslot with Anke Late Night, which was cancelled due to low ratings a few months later on October 21, 2004. Engelke is the German voice of Marge Simpson on The Simpsons since her predecessor Elisabeth Volkmann died in the summer of 2006.",her,277,Engelke,210,TRUE,Marge Simpson,241,FALSE
test-20,"Antonio di Filippo di Lorenzo Niccolini (Florence, 1701--1769) was an Italian abbot, jurist and scholar, who was considered one of the leading figures of eighteenth-century Tuscany. He was born into a noble Florentine family, the youngest child of Filippo, third Marquess of Ponsacco and Camugliano, and was a relative of the Pope.",He,182,Antonio di Filippo di Lorenzo Niccolini,0,TRUE,Filippo,248,FALSE
test-21,"Rabelais traveled frequently to Rome with his friend Cardinal Jean du Bellay, and lived for a short time in Turin with du Bellay's brother, Guillaume, during which Fran*ois I was his patron. Rabelais probably spent some time in hiding, threatened by being labeled a heretic. Only the protection of du Bellay saved Rabelais after the condemnation of his novel by the Sorbonne.",his,349,du Bellay,298,FALSE,Rabelais,314,TRUE
test-22,"The team spends some time in a beach-house on the West Coast, living with a semi-sentient housemaid defensive robot. There have been moments of friction as the rest of the team is still adjusting to Sarah's sexual orientation. For some time, Caitlin Fairchild had no idea Sarah was attracted to women, especially her, leading to at least one incident where Caitlin innocently changed clothing in front of her.",her,313,Caitlin Fairchild,242,TRUE,Sarah,272,FALSE
test-23,"After seeing an image of Venus, Vulcan, and Cupid, he deduces that it is a temple to Venus. Chaucer explores the temple until he finds a brass tablet recounting the Aeneid. Chaucer goes into much further detail during the story of Aeneas's betrayal of Dido, after which he lists other women in Greek mythology who were betrayed by their lovers, which led to their deaths.",he,270,Chaucer,173,TRUE,Aeneas,231,FALSE
test-24,"Jones played piano for a concert with the London Symphony Orchestra, with George Martin conducting his Beatles Yellow Submarine Suite. He also wrote a chapter on MIDI for Martin's book Making Music and presenting a segment about computer music on BBC Two's Science In Action. In the late 1980s Jones began working with Duran Duran on their live shows and then in the studio producing a B side single ``This Is How A Road Gets Made'', before being hired to record the album Liberty with producer Chris Kimsey. He also produced the single ``Burning the Ground'' (a remix of Duran's greatest hits) for Duran Duran's compilation album.",He,509,Jones,294,TRUE,Chris Kimsey,495,FALSE
test-25,"That opened the door for Racing Engineering's Christian Vietoris to claim second place, the German having done a great job after starting from seventh on the grid, while iSport's Davide Valsecchi made a nice move down the inside of Giedo van der Garde (Addax) to secure third with three laps to go. Oliver Turvey finished fifth for iSport ahead of Super Nova's Luca Filippi, the Italian taking his first point since returning to the series at Silverstone.",his,394,Oliver Turvey,299,TRUE,Luca Filippi,361,FALSE
